,News
178,"NEW DELHI: The government said it was important to avoid changing the status quo in border areas while India and China continue their discussions to achieve complete disengagement in all friction areas and to ensure full restoration of peace and tranquillity along the Line of Actual Control (LAC).
The seventh round of military commanders meeting as well as the next round of Working Mechanism for Consultation and Coordination on India-China Border Affairs (WMCC) talks between Indian and Chinese officials will be scheduled “soon”, the MEA said on Thursday.
LAC stand-off: Complete coverage
Responding to questions on the state of play in eastern Ladakh between Indian and Chinese troops after the sixth round of talks between military commanders on Monday, MEA spokesperson Anurag Srivastava said the meeting took place after a gap of 50 days but resulted in the first joint statement by India and China following such discussions. He interpreted this to reflect “the stated commitment of both sides to disengage along the LAC”.
NEWS IN BRIEF
EXPLORE BRIEFS
Bihar polls in 3 phases from Oct 28, counting on Nov 10
The Election Commission on Friday announced the schedule for Bihar assembly elections. The polls will be held in 3 phases on October 28, November 3 and November 7. The counting of votes will take place on November 10, CEC Sunil Arora said announcing the schedule.
Covid-19: Active cases fall but positivity rises
The seven-day rolling average growth rate in active cases of Covid-19 in India has slipped into the negative helped by recoveries exceeding daily new cases for last six consecutive days, indicating a decline in the actual caseload of the infection, even as a drop in average of daily tests through the week has raised concerns. The seven-day average growth rate in active cases was -0.6% for the September 17-23 period.
Observing that disengagement was a “complex” affair which would ultimately involve two armies moving back to permanent positions on their own side of the LAC, Srivastava said, “Even as two sides work towards complete disengagement in all friction areas, it is at the same time also necessary to ensure stability on the ground. The latest senior commanders’ meeting should be seen in all this overall context.”
Srivastava insisted the process had to be “reciprocal” — that Indians would move once the Chinese did so. India has said that the root of the current stand-off was the unusually large build-up and amassing of troops by the Chinese in contravention of existing agreements.
The commanders meeting expanded the discussion on disengagement to “all friction areas” apart from just Pangong Tso. The Chinese side, according to reports, wanted to confine the discussions to the southern bank of Pangong Tso, an area where Indian troops have acquired dominance over crucial ridges and heights.
At the foreign ministers’ meeting in Moscow, S Jaishankar had insisted, and the point was accepted by the Chinese side, “that the two sides should continue the dialogue and quickly and comprehensively disengage in all the friction areas”."
179,"DUBAI: Royal Challengers Bangalore (RCB) captain Virat Kohli had no qualms in taking the blame for dropping Kings XI Punjab skipper KL Rahul twice, which contributed significantly to their 97-run defeat in the Indian Premier League (IPL) here on Thursday.
KXIP vs RCB: FULL SCORECARD
Kohli felt had he not dropped Rahul, who remained unbeaten on 132, twice KXIP would not have been able to go past the 200-run mark.
""I have to stand in front and take the brunt of it, not the best day in the office, couple of important chances of KL when he was set and that cost us 35-40 runs at a later stage. Maybe if we restricted them to 180, we wouldn't have been under pressure from ball one of the chase,"" said Kohli at the post-match presentation.
POINTS TABLE
KXIP posted 206 for three and RCB were bundled out for 109 in 17 overs.
""We know exactly where we went wrong and I have to put my hand up and say a couple of important chances went down. There are days when these kind of things happen on the cricket field, they happen and we have to accept them.
Kings XI Punjab vs Royals Challengers Bangalore: KL Rahul leads KXIP to 97-run win over RCB

""We have had a good game (against Sunrisers Hyderabad), we have had a bad game and now it is time to move on and learn from the mistakes we made,"" said Kohli.
On sending the young Josh Philippe ahead of himself at number 3, Kohli said: ""He has batted at the top of the order for Western Australia and done well in the BBL as well. Early days in the tournament, so we thought we will maximise his ability and see how we go from there on. We thought we will give ourselves a bit of depth in the middle overs (by sending Philippe up the order).""
The Australian wicketkeeper-batsman had batted in the middle-order in RCB's first game against Sunrisers.
RCB next play defending champions Mumbai Indians here on September 28."
180,"NEW DELHI: Adjourned sine die eight days ahead of its scheduled duration, the curtailed monsoon session of Lok Sabha witnessed a record 167% productivity with several key bills passed although the opposition walked out of the proceedings on the last day in protest against the fracas that took place in Rajya Sabha on Sunday.
Lok Sabha passes three labour codes amid boycott by opposition

Lok Sabha passed 25 bills and 16 were reintroduced as the government had laid out its agenda of getting the bills cleared, many of them ordinances.
While 37 hours were scheduled in the 10 sittings that took place in 10 days without a single break, the House worked for over 60 hours, including weekends. While 68% of the time was for legislative business, the remaining was used for Zero Hour and debates.
NEWS IN BRIEF
EXPLORE BRIEFS
Bihar polls in 3 phases from Oct 28, counting on Nov 10
The Election Commission on Friday announced the schedule for Bihar assembly elections. The polls will be held in 3 phases on October 28, November 3 and November 7. The counting of votes will take place on November 10, CEC Sunil Arora said announcing the schedule.
Covid-19: Active cases fall but positivity rises
The seven-day rolling average growth rate in active cases of Covid-19 in India has slipped into the negative helped by recoveries exceeding daily new cases for last six consecutive days, indicating a decline in the actual caseload of the infection, even as a drop in average of daily tests through the week has raised concerns. The seven-day average growth rate in active cases was -0.6% for the September 17-23 period.

Speaker O P Birla said, “This session was being held under unprecedented times, am glad that all members rose to the occasion and placed their duties as public representatives on their topmost priority.”
Opposition walkout in Rajya Sabha gives govt walkover on 7 bills

In Zero Hour, 370 MPs raised issues, including 88 who spoke on September 20 when the House went past midnight. As many as 181 issues of public importance were raised via Rule 377 and 855 papers tabled by ministers. Out of 78 women MPs, 60 spoke during the 10 day proceedings. Besides, 2,300 unstarred questions were answered by the government.
“You have become the hero of the Zero Hour"", parliamentary affairs minister Pralhad Joshi told Birla while appreciating him for conducting proceedings of the House during the challenging time of Covid-19 pandemic.
As the session was shortened due to the pandemic, private member business was skipped. Therefore, no private member bill was introduced or discussed.
Several important bills were passed in the monsoon of the parliament this year. Some of them include the Farmers’ Produce Trade and Commerce (Promotion and Facilitation) Bill, The Farmers (Empowerment And Protection) Agreement On Price Assurance and Farm Services Bill, and the Amendment to 1955 Essential Commodities Bill, The FCRA Amendment Bill, Jammu and Kashmir Official Languages Bill, and three labour code bills—The Occupational Safety, Health And Working Conditions Code, The Code On Social Security, and The Industrial Relations Code."
181,"NEW DELHI: The NDA ally, Lok Janshakti Party, has claimed their chief Chirag Paswan may contest the assembly election in Bihar as the party is keen to project him as the chief minister face in the state.
“Our party strongly believes that the CM should be elected directly by people and not by selection. If you are not elected by people, you won’t get the feedback from the ground. So far there has been no discussion among partners about seat sharing. As we are losing more days, our Plan-B to put candidates against all JD(U) candidates is actually becoming Plan A. We are prepared to give a tough fight,” said an LJP leader in condition of anonymity.
Political circles were seeing this as another sign of LJP's feud with Bihar CM minister Nitish Kumar whom NDA has projected as their choice for the top job in the state, with ""election versus selection"" formulation appearing to be a jibe trained at the JD(U) boss who is a member of the Legislative Council.
While the ties between LJP and JDU have almost snapped, Paswan has tried to be on the right side of the BJP.
The BJP, for its part, reciprocated the sentiment but has rejected LJP’s insistence not to project Nitish as CM, with all party leaders from Prime Minister Narendra Modi downwards declaring the incumbent as their mascot for the polls.
LJP 's patience seems to be running thin also because BJP is unlikely to be very generous in allotting seats for Ramvilas Paswan’s party to contest.
Sources said the regional party from Bihar would write to the BJP to get a clear picture about the alliance and seat sharing so that it can start preparation. “Our candidates also need time for poll preparation. We don’t know what the BJP has to offer to us,” said another leader.
Meanwhile, after some JD(U) leaders threw a challenge to the LJP chief to contest election without being in alliance with BJP, Chirag's colleagues hit back saying JD(U) is also dependent on BJP for survival and would receive a rude shock, if it were to go to the hustings on its own. “They will receive the biggest blow. They are depending highly on BJP and PM Narendra Modi’s popularity and decisions,” two LJP leaders told TOI."
182,"MUMBAI/NEW DELHI: Tata Group, India’s biggest conglomerate, and Jubilant Food-Works (which owns the franchise for Domino’s and Dunkin’ Donuts in India), are weighing a bid for Coffee Day Group’s hot beverage vending machine business, said people with knowledge of the matter.
The beleaguered Coffee Day Group is seeking Rs 2,000 crore for the business, which has piqued the interest of marquee global private equity funds too.
Tata Group is considering doing any potential deal through its listed entity Tata Consumer Products, which has emerged as the third most valuable company in the $113-billion conglomerate after TCS and Titan. The sale has drawn the interest of Warburg Pincus, Goldman Sachs and Blackstone too, said the sources. Any transaction will be an addition to the $32.6-billion merger and acquisition deals involving an Indian target and announced since April 1, 2020, Refinitiv data showed.

NEWS IN BRIEF
EXPLORE BRIEFS
Vodafone wins international arbitration against India in $2 billion tax dispute case: Report
Vodafone Group Plc has won an international arbitration case against the Indian government in a $2 billion retrospective tax dispute, sources said. The tribunal ruled that the Indian govt's imposition of a tax liability on Vodafone is in breach of the investment treaty between India and the Netherlands. Earlier this month, the Supreme Court gave mobile carriers 10 yrs to settle dues.
Centre used GST compensation cess elsewhere, violated law: CAG
In its audit report of government accounts, the Comptroller and Auditor General (CAG) flagged that Rs 47,272 crore of GST compensation cess was to be credited to the non-lapsable GST Compensation Cess collection fund for payment to states for loss of revenue due to implementation of GST since 2017, but the government did not do so, and thus violated the GST law.
A spokeswoman for Tata Consumer said the company “evaluates various opportunities on an ongoing basis” and declined to comment any further. A representative for Jubilant FoodWorks did not respond to requests for comments, while Warburg Pincus, Goldman Sachs and Blackstone could not be contacted immediately.
Earlier this year, Blackstone — along with a local real estate developer — had bought Coffee Day Group’s office park in Bengaluru for Rs 2,700 crore. The hot beverage vending machine business is housed under Coffee Day Global, a 90% subsidiary of the listed Coffee Day Enterprises, whose shares are suspended from trading by the markets regulator after it missed filing its financial results within the prescribed time.
The Coffee Day Group has been selling assets to repay lenders after the sudden death of founder V G Siddhartha last year. The people said that discussions have been on with potential suitors for the vending machine business and Coffee Day Group’s adviser MAPE plans to call for expression of interests soon.
“Coffee Day is looking to induct strategic and financial partners into multiple businesses as part of an ongoing restructuring exercise,” its spokesperson said. “To this end, there are several ongoing discussions. None of these conversations have reached any conclusive stage.”
TOP COMMENT
It will be prudent for CCD to go ahead with TATAS, the most trusted, respected and loved BRAND in India
Anand Kumar
SEE ALL COMMENTS
ADD COMMENT

Coffee Day had earlier sought a price of Rs 3,000 crore for the vending machine business, but lowered it later in light of the unit (corporate customers account for bulk of the business) being hit by office attendance rules triggered by Covid-19. The group will have to demerge the vending machine business from Coffee Day Global and then sell to the potential acquirer as the company houses other retail businesses too.
The potential deal comes as Tata Consumer plans to ramp up its food and beverage portfolio. It had recently acquired the packaged products unit of sister concern Tata Chemicals. It also runs a coffee chain in partnership with Starbucks. “The Tatas have the supply chain and raw material in place for the coffee business because of their plantations. In the meanwhile, they have gained significant experience on the retail side because of their association with Starbucks,” said Arvind Singhal, founder of retail consultancy, Technopak. “There is an opportunity in the country for this business, and the Tatas can do justice to it due to their expertise and financial muscle — the latter was missing from Coffee Day.”"
183,"Conservative estimates peg the number of heart failure patients in India at 80 lakh to 1 crore, but not many can say the difference between heart failure and heart attack. Worse, 23% of heart failure patients in India die within a year of diagnosis.
Lack of awareness hinders timely detection of heart failure, leading to treatment costs shooting up and the risk of death increasing.'
The Times of India’s Beat Heart Failure initiative in partnership with Novartis is a programme that aims to educate people about the disease and its common symptoms so that they can take timely action.
The idea is to also urge our policymakers to advise on better NCD diagnostics at the ground level and effective data collection to tackle such diseases in a proactive manner.
NEWS IN BRIEF
EXPLORE BRIEFS
Bihar polls in 3 phases from Oct 28, counting on Nov 10
The Election Commission on Friday announced the schedule for Bihar assembly elections. The polls will be held in 3 phases on October 28, November 3 and November 7. The counting of votes will take place on November 10, CEC Sunil Arora said announcing the schedule.
Covid-19: Active cases fall but positivity rises
The seven-day rolling average growth rate in active cases of Covid-19 in India has slipped into the negative helped by recoveries exceeding daily new cases for last six consecutive days, indicating a decline in the actual caseload of the infection, even as a drop in average of daily tests through the week has raised concerns. The seven-day average growth rate in active cases was -0.6% for the September 17-23 period.
As a startto the 3rd chapter of Beat Heart Failure, TOI reached out to policymakers and the best medical minds of Assam to de-mystify the disease.
The campaign’s Assam edition saw the participation of state health minister Himanta Biswa Sarma, cardiology professor at Gauhati Medical College and Hospital Pranab Jyoti Bhattacharyya, cardiologist at Apollo Hospitals, Guwahati, Rituparna Baruah, chief interventional cardiologist at Hayat Super Speciality Hospital Chinmoy Mazumdar, state director of medical education Anup Kumar Barman and programme officer of non-communicable diseases at the National Health Mission Rahul Sarma.

“Assam has a number of programmes to address heart failure, including correcting coronary heart disease among children. The state spends 6% of its GDP on health, and provides free treatment to patients through mechanisms like Atal Amrit Abhiyan, an insurance scheme for people who are not covered under PM-JAY,” said health minister Sarma. “We are studying the heart failure registry of Kerala. If we find it feasible for use here, we will emulate it. Early detection is key to treating heart failure.”
The misconceptions around heart failure are many, said Barman, adding that not only was heart failure prevalent, it was one of the leading causes of morbidity and mortality in the world.
Bhattacharyya said heart failure could be caused by heart disease as well as other diseases.
“Anaemia is a very big cause of heart failure. Other risk factors include diabetes, hypertension, smoking, unhealthy lifestyle and untimely eating habits,” he explained, while stressing on the need for early detection of the disease to cut down on treatment cost. One of the ways in which heart failure can be detected in a cost-effective and timely manner is through screening of the disease.

Sarma, who said he was seeing younger and younger patients getting diagnosed with heart failure, said current screening programmes — which check people for diabetes, hypertension and various types of cancer — should also look for heart failure. “With this, there needs to be a referral system so that critically ill patients can be referred to tertiary healthcare centres,” he said.
Mazumdar explained that a heart failure patient could be symptomatic and asymptomatic, making detection difficult.
“Heart failure could be incipient or of sudden onset. One way of checking people for heart failure is by making them fill a simple questionnaire. Grassroots health workers and primary physicians could be roped in for this,” Mazumdar said.
Baruah echoed the sentiment. “The symptoms of a heart attack and heart failure can overlap. In such cases, it is very important to have a questionnaire that can be accessible to patients. We can start looking for heart disease by getting patients to check for symptoms like fatigue and breathlessnes,"" said the cardiologist."
184,"NEW DELHI: When former Australia batsman Dean Jones collapsed in the lobby of a Mumbai hotel on Thursday, his fellow Aussie and former international fast bowler Brett Lee desperately tried to revive him, according to a newspaper report in Australia.
Jones, 59, died of a ""sudden cardiac arrest"" according to a statement from STAR India, with whom he was working as a commentator for the Indian Premier League (IPL).
""Daily Mail Australia understands Jones collapsed in the lobby of the hotel as he entered with former fast bowler Brett Lee, who desperately tried to revive him with CPR,"" wrote the newspaper on its website.
Dean Jones, gutsy player and 'Prof' of ODI batting, dead

NEWS IN BRIEF
EXPLORE BRIEFS
IPL 2020: Anushka calls Gavaskar's remark 'distasteful'
The legendary Sunil Gavaskar on Friday found himself in the midst of a controversy for making a comment about Virat Kohli and his wife Anushka Sharma after the Indian captain's forgettable outing in the IPL. Gavaskar commented that Kohli has only faced Anushka's bowling during lockdown, referring to the time when the couple was spotted playing cricket in their house.
Dean Jones was ahead of his time in the 50-over format: Shastri
Speaking to TOI on Thursday evening, just hours after Dean Jones passed away, Ravi Shastri conveyed his condolences. Calling him a ""terrific entertainer"" in white-ball cricket during his time, Shastri said, ""He was ahead of his time in the 50-over format, had an attacking style, his running between the wickets was excellent and he was right there at the top.""
""According to close friends, Jones went for a run on Thursday morning before suffering the heart attack at lunchtime,"" it said.
Earlier in the day, STAR India confirmed the news of Jones's passing away.
""It is with great sadness that we share the news of the passing away of Mr. Dean Mervyn Jones AM. He died of a sudden cardiac arrest,"" STAR India said in a statement.
""We express our deep condolences to his family and stand ready to support them in this difficult time. We are in touch with the Australian High Commission to make the necessary arrangements.""
Dean Jones' sudden death leaves cricketing world in shock

Jones played 52 Tests for Australia, amassing 3,631 runs at an average of 46.55 with 11 centuries and 14 fifties. In 164 ODIs, he scored 6,068 runs, averaging 44.61 with seven tons and 46 fifties.
TOP COMMENT
Very sad news. To go like this at a relatively young age, away from his family and loved ones. May he rest in peace.
SEE ALL COMMENTS
ADD COMMENT

STAR India said that Jones was one of the great ambassadors of the game who associated himself with cricket development across South Asia.
""He was passionate about discovering new talent and nurturing young cricketers. He was a champion commentator whose presence and presentation of the game always brought joy to millions of fans. He will be sorely missed by everyone at STAR and his millions of fans across the globe. Our thoughts and prayers are with his family and friends,"" the statement said."
185,"AMARAVATI: With the markets slowly opening up across the globe, demand for dry chilli in the international market has shot up, resulting in an increase in prices. The high quality chilli Teja variety is fetching around Rs 17,000-18,000 per quintal while other common varieties too are getting a good price of over Rs 12,000-14,000 per quintal.
Sources said that the price in the local markets was escalating thanks to the good export orders. The chilli prices were just around Rs 8,000-10,000 per quintal during the peak season before lockdown and they dipped to around Rs 6,000 per quintal due to the lockdown.
Majority of the growers sold their stocks to the merchants and their middlemen after seeing the prices nose diving during the lockdown. Sources said that around 20 per cent of the farmers kept their stocks in the cold-storages after the merchants assured them of getting reasonably good prices after the lockdown.
As anticipated by the traders, the prices started shooting up in the last 2-3 weeks.
The prices touched an all-time high of Rs 18,000 per quintal in the last two days. Sources said that about 30-40 lakh bags of stock is still parked in the cold-storages which might give decent profits to the traders. “Teja and Byadigi varieties are commanding good prices due to the demand from exporters. The prices are relatively high,” said L Kranti Sekhar, a leading chilli trader.
Commission agents association former secretary Suresh Reddy said that production loss in some of the northern states due to the sudden floods and heavy rains has triggered the prices in the local markets. He said that common varieties too were fetching around Rs 100-120 per kg which is almost 40-50 per cent increase from the lockdown period. He said that there was a demand from other states in view of the festive season.
Guntur agriculture market committee chairman Ch Yesurathnam said that they were allowing the sale of the stocks even at the cold-storage points to ease the traffic congestion in the market yard.
He said that the decision to operate market near cold-storages had also helped farmers gain good prices. About 40,000 bags per day were being transacted at the market yard which is also very high during September."
186,"When two brothers fell critically ill with Covid-19 around the same time in March, their doctors were baffled. Both were young -- 29 and 31 years old -- and healthy. Yet within days they couldn’t breathe on their own and, tragically, one of them died.
Two weeks later, when a second pair of Covid-stricken brothers, both in their 20s, also appeared in the Netherlands, geneticists were called in to investigate. What they uncovered was a path leading from severe cases, genetic variations, and gender differences to a loss of immune function that may ultimately yield a new approach to treating thousands of coronavirus patients.
How long before you can get a Covid-19 vaccine?

The common thread in the research is the lack of a substance called interferon that helps orchestrate the body’s defense against viral pathogens and can be infused to treat conditions such as infectious hepatitis. Now, increasing evidence suggests that a significant minority of Covid-19 patients get very ill because of an impairedinterferon response. Twin landmark studies published Thursday in the journal Science showed that insufficient interferon may lurk at a dangerous turning point in SARS-CoV-2 infections.
NEWS IN BRIEF
EXPLORE BRIEFS
Vodafone wins $2 billion international arbitration against India
Vodafone Group Plc has won an international arbitration case against the Indian government in a $2 billion retrospective tax dispute, sources said. The tribunal ruled that the Indian govt's imposition of a tax liability on Vodafone is in breach of the investment treaty between India and the Netherlands. Earlier this month, the Supreme Court gave mobile carriers 10 yrs to settle dues.
Legendary playback singer SP Balasubrahmanyam dies
Legendary playback singer SP Balasubrahmanyam, popularly known as Balu and SPB, who enthralled millions of people with his youthful voice, died at 1.04 pm on Friday while undergoing treatment for Covid-19 at a Chennai hospital. He was 74. SPB, who sang more than 40,000 songs in a career spanning nearly 55 years, had been undergoing treatment in MGM Healthcare since August 5.
From labs to syringes: How a Covid-19 vaccine will reach you

“It looks like this virus has one big trick,” said Shane Crotty, a professor in the Center for Infectious Disease and Vaccine Research at the La Jolla Institute for Immunology in California. “That big trick is to avoid the initial innate immune response for a significant period of time and, in particular, avoid an early type-1 interferon response.”
The work highlights the potential for interferon-based therapies to enlarge a slowly accumulating range of Covid-19 treatments. These include Gilead Sciences Inc.’s remdesivir and convalescent plasma, a component of the blood of recovered patients that may contain beneficial immune factors.
These treatments provide limited benefit and are typically used in very sick, hospitalized patients. The possibility that interferon may help some people is enticing because it appears most efficacious in the early stages of infection, when life-threatening respiratory failure could still be averted. Dozens of studies of interferon treatment are now recruiting Covid-19 patients.
“We think timing may be essential because it’s only in the very early phase one can really battle the virus particles and defend against infection,” said Alexander Hoischen, head of the genomic technologies and immuno-genomics group at Radboud University Medical Center in Nijmegen that analyzed the DNA of the two sets of brothers.
Being male, elderly, and having underlying medical conditions can all raise patients’ risk of life-threatening Covid-19. But even within these groups, disease severity varies widely. Scientists have speculated other factors influence susceptibility, including pre-existing levels of inflammation and immunity, the amount of virus that starts an infection, and patients’ genetic makeup.
New nexus
Interferon’s role represents a new nexus in Covid-19’s complex interaction with the human immune system. Many patients suffer their worst complications because of an immune overreaction sometimes called a cytokine storm, and may benefit from dexamethasone, a cheap generic that calms these storms.
“It’s a very interesting disease because too little immunity is no good,” Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases, said Sept. 10 in an on-line briefing for Massachusetts General Hospital staff. “Too much immunity is really, really bad.”
Whether sufficient interferon is available early or late in Covid-19 cases has a major bearing on disease severity, according to Yuen Kwok-Yung, chair of infectious diseases in the University of Hong Kong’s department of microbiology. Ideally, production of the antiviral substance would be triggered when immune cells encounter SARS-CoV-2 genetic material, stopping rapid viral reproduction inside the body and averting complications, he said.
“But the SARS-CoV-2 virus has anti-interferon genes which can stop or antagonize the production or effect of interferon,” said Yuen, who measured the effects in human lung tissue. If the interferon response is delayed and the amount of virus in the body peaks at a high level, other parts of the immune system will be “awakened.”
‘Really disastrous’
That may trigger lung-injuring inflammation -- collateral damage from an excessive immune reaction to the virus. “This is really disastrous,” he said.
Some people are known to have trouble fighting infections because they make antibodies that deactivate their own interferon. On Thursday, a global consortium of researchers said such immune reactions to the protein could account for life-threatening Covid-19 pneumonia in at least 2.6% of women and 12.5% of men.
Interferon-blocking antibodies appeared in 101 of 987 patients with severe disease, but none of 663 people with an asymptomatic or mild case, according to the study in Science. Patients over age 65 were also more likely than younger ones to have the autoimmune abnormality, which was “clinically silent until the patients were infected with SARS-CoV-2,” the group of more than 100 scientists said.
‘First explanation’
“These findings provide a first explanation for the excess of men among patients with life-threatening Covid-19 and the increase in risk with age,” the researchers led by Jean-Laurent Casanova, head of Rockefeller University’s St. Giles Laboratory of Human Genetics of Infectious Diseases in New York said. “They also provide a means of identifying individuals at risk of developing life-threatening Covid-19.”
Genetic analysis of Covid-19 patients published in the same journal revealed two dozen gene mutations that had been “silent” until patients were infected by SARS-CoV-2. Researchers -- many of them also involved in the antibody study -- sequenced the genomes of 659 patients with life-threatening cases of the disease; 3.5% carried genetic variations that inhibit interferon production.
Those genetic flaws were similar to the ones that Hoischen and his colleagues from a dozen Dutch centers described in the Journal of the American Medical Association two months ago. The two sets of brothers had inherited a gene mutation that impaired the interferon response, keeping their immune systems from fighting the coronavirus until it had replicated for days.
In the Dutch men, the effects were cruel. The first, a young father from a town in the southern Netherlands, suffered shortness of breath, cough and fever at home for eight days before admission to intensive care. He was to spend 33 days in the hospital, 10 of them on a ventilator.
Raging fever
His 29-year-old brother succumbed to Covid-19 in an intensive care unit in Rotterdam, after being treated for shock and a fever that soared to 44 degrees Celsius (111 degrees Fahrenheit). When doctors at Radboud learned of his younger sibling’s case, as well as a second pair -- 21- and 23-year-old brothers also in respiratory failure -- they went looking for a genetic cause.
They found a mutation that was carried on the X chromosome. Defects on this chromosome are more likely to affect men, who have only one copy, while women have two.
The men’s mutations are rare -- occurring in 1 in 10,000 people -- and an unlikely explanation for the vast majority of severe Covid-19 cases. But the studies in Science indicate that various forms of interferon dysfunction may underlie as many as 14% of critical patients, and that screening and targeted treatment might prevent severe illnesses and deaths.
“If we manage to get them into our university medical center early enough,” Hoischen said, “our clinicians may be able to treat them with interferons.”
TOP COMMENT
Stop threating people with Corona.Do u knw hw many people die of Road accidents evryday??
Rajesh
SEE ALL COMMENTS
ADD COMMENT

Other ways of overcoming autoimmunity, like the removal of antibodies against interferon from the blood, called plasmapheresis, could also help patients. On the other hand, patients who produce antibodies against interferon shouldn’t donate blood products for treating other patients.
“The rare diseases and the more common forms of the same disease may converge, and we can learn from each other,” said Hoischen. “That’s the hope.”"
187,"NEW DELHI: Contrary to some media reports suggesting that England all-rounder Ben Stokes will join Rajasthan Royals at the ongoing Indian Premier League (IPL) in the first week of October, former England left-arm spinner Monty Panesar feels the talismanic all-rounder perhaps won't be able to play this edition of the IPL. Panesar, though, has still picked the Royals as ""the most dangerous"" team of the season that began in the UAE on September 19.
FIXTURES | POINTS TABLE
Stokes, arguably the best all-rounder currently, is in Christchurch, New Zealand, to attend to his ailing father, who was diagnosed with brain cancer. He left the England team during the Test series against Pakistan at home last month and is yet to join his IPL franchise.
""With Ben Stokes, the situation is that his father is not in a good space. For that reason, he will probably be in New Zealand and I doubt he will be coming to the IPL,"" said Panesar talking to Timesofindia.com.
IPL 2020
SCHEDULE
POINTS TABLE
Previous
MATCH 6 - 24 SEP 20
KXIP
206/3
20.0 ov
RCB
109
17.0 ov
KXIP beat RCB by 97 runs
MATCH 7 - 25 SEP 20
CSK
DC
19:30 IST- Dubai
19:30 IST- Abu Dhabi
Next
SCHEDULE
TEAMS
VIDEOS
STATS
Ben Stokes may miss first part of IPL; Royals 'will wait' to hear from their all-rounder

Calling him the ""Superman of cricket"", Panesar said should Stokes manage to join the Royals at some stage, it will be ""massive"" for the tournament.
""He is a huge influence player, one of the key players with all-round abilities, dubbed the 'Superman of cricket'. I think his presence in the IPL will be massive,"" said Panesar, who played 50 Tests for England, about the hero of England's 2019 World Cup triumph.
While Stokes' absence leaves a huge void in the Royals' camp, Panesar thinks they are still the ""most dangerous"" among the eight teams and have the ability to turn a game on its head.
""The team that looks the most dangerous (and can) win from different situations, I would probably say it's the Rajasthan Royals,"" said Panesar.
Rajasthan Royals vs Chennai Super Kings: Sanju Samson leads Royals to 16-run win

The season has already seen targets in excess of 200 being set twice, by Rajasthan and Kings XI Punjab, despite expectations at the start of the tournament that the pitches in the Emirates will be slow and low and produce totals around the 140-160 mark. On that note, Panesar cautions about ignoring the seamers.
""IPL is always going to have spinners involved, but I think the seamers will have a bit of a role to play this time around,"" said the 38-year-old Panesar. ""With the nature of the pitches (grass left on it by curators), it skids on a little bit, there's more pace in there and it kind of moves a little bit as well. So for me, I do think possibly seamers will play a bigger role this time around, but spinners always play a role."" Panesar told TimesofIndia.com.
(File Photo - TOI)
Kings XI Punjab skipper KL Rahul hit the first century of the season on Thursday to lead his side to a big win over Royal Challengers Bangalore. But Panesar isn't surprised to see some big scores early in the season and the cricket-starved fans won't be complaining.
""We all know how once you start getting used to the nature of the wickets, you suddenly see big sixes and fours and the big totals. I think from the entertainment point of view, a lot of fans around the world would rather see a six than a wicket,"" Panesar said.
LATEST COMMENT
Ben stokes is terrific player in T20's
Vishwa Kumar
SEE ALL COMMENTS
ADD COMMENT

On a concluding note, besides picking the Royals as possibly the most dangerous team of this IPL, Panesar put his finger on Mumbai Indians as one of his favourites.
""I think the most balanced team is going to be Mumbai Indians,"" Panesar said to sign off."
188,"LUCKNOW: The UP government is planning ‘Operation Durachari’, to be launched soon for naming and shaming habitual offenders in the cases of crime against women. Chief minister Yogi Adityanath has also instructed the police to strengthen ‘anti-Romeo squads’ across the state.
Although the modalities and other details of ‘Operation Durachari’ are yet to be finalised, sources in the state home department said that photographs of those found to be habitual offenders in cases of sexual harassment and other crime against women would be put on display at prominent crossings.
It has also been decided that all those involved in crime against women should be handled by women officers only. If there is any criminal incident with a woman, then the respective beat in-charge, outpost incharge, police station in-charge and circle officer would be held responsible.
DGP HC Awasthy also instructed district police chiefs to take strict action in cases of crime against women and strengthen the ‘anti-Romeo squads’. He said that patrolling of UP 112 vehicles should be intensified on places where eveteasing is common and all the police chiefs should make a facility of women help centres in their respective offices. Checking by anti-Romeo squads must be done by cops while wearing body-worn cameras."
